item_id,text,gold_label,sample_type,strategy,strategy_raw,original_text_ref
POS_0106,I have some back pain when driving but hopefully my doctors will solve it!,True,positive,optimism,['optimism'],"I drove on ETS2 but for just 40minutes, because my back pain comes from nerves, and when I am stressed or sick, they tend to, I don't know.. But they hurt and my back hurts cause if them Current stage &"
ENEG_0014,I need a day just to finish all my projects and graduation stuff. justoneday stressed,False,easy_negative,growth,"['growth', 'impermanence']",I need a day just to finish all my projects and graduation stuff. justoneday stressed
POS_0037,After I'm done with studying I'll be able to have my dream job!,True,positive,optimism,['optimism'],The life of a double concentration education major! I hope I enjoy teaching since I'm putting myself through all this torture
POS_0089,"I fell behind my nursing readings, but I know it's my own fault, now I have to power through all of it, I can do it!",True,positive,growth,"['growth', 'self_affirmation']",can guarantee I will cry at least once before Friday I'm so far behind in my nursing readings it's not even funny
POS_0032,I will set up a schedule and organize what needs to be done,True,positive,growth,['growth'],"can you give me some kind of consideration, please! >;_<; u know na hindi ako pwede pg Sunday :'( .. still lot of stuff to do .."
ENEG_0025,"The past like 2 weeks has just been a crazy, confusing, awk situation. Like just everything. Lol ineedab",False,easy_negative,thankfulness,['thankfulness'],"The past like 2 weeks has just been a crazy, confusing, awk situation. Like just everything. Lol ineedab"
HNEG_0042,"I wanted to lay down, and wake up at a time when society isn't so bad. But that's life, and I should be enjoying the good parts of it.",False,hard_negative,neutralizing,"['impermanence', 'neutralizing']","I want to lay down and die.., but not actually die.. Just wake up at a time when society isn't such a load of bullshit. tired"
POS_0120,My brother is having a destination wedding next week I am happy for him.,True,positive,thankfulness,"['neutralizing', 'thankfulness']",My brother is having a destination wedding next week and I'm so excitedand exhausted!! When you are so exhausted and stressed and broke from the planning and prep that you have to remind yourself to enjoy the vacation  DestinationWedding
POS_0019,"I studied and took notes all night, I'm working hard and that's good.",True,positive,optimism,['optimism'],"Studied and made notecards all night, uhhhh hate finals and keystones at the same time. Not a Happy Camper"
ENEG_0000,Everything is stressful  painful  and exhausting.  I wonder if I can make it. anxietyproblems schools,False,easy_negative,growth,"['growth', 'impermanence']",Everything is stressful  painful  and exhausting.  I wonder if I can make it. anxietyproblems schools
POS_0024,"I'm not eaten all day. I need to see a doctor about my eating disorder, so I can get better.",True,positive,growth,['growth'],Eating for the first time today. I hate eating! This is so stressful! eatingdisorders hateeating
